Phase,Area,Task_ID,Task_Name,Description
1,F,P1F1,React 전체 페이지 변환,프로토타입 28개 + 개선 5개 페이지를 React로 변환
1,BI,P1BI1,Supabase 클라이언트 설정,Supabase 클라이언트 초기화 (서버/클라이언트 분리)
1,BI,P1BI2,API 미들웨어,인증 미들웨어 + 에러 핸들링 미들웨어
1,BI,P1BI3,Database Types 생성,Supabase Schema → TypeScript Types 자동 생성
1,BA,P1BA1,Mock API: 인증,"회원가입, OAuth, 로그인, 비밀번호 재설정, 토큰 갱신, 로그아웃 (6개 route.ts)"
1,BA,P1BA2,Mock API: 정치인,"목록, 상세, 관심등록, 본인인증, AI평가 조회, AI평가 생성 (6개 route.ts)"
1,BA,P1BA3,Mock API: 커뮤니티,"게시글 목록/상세/작성, 댓글, 좋아요, 공유, 팔로우 (7개 route.ts)"
1,BA,P1BA4,Mock API: 기타,"알림, 관리자 통계, 사용자 관리, 콘텐츠 신고 (4개 route.ts)"
2,D,P2D1,전체 Database 스키마 (통합),모든 테이블 + 트리거 + 타입 + Storage + 최적화
3,BA,P3BA1,Real API: 인증,"회원가입, OAuth, 로그인, 비밀번호 재설정, 토큰 갱신, 로그아웃 (6개 route.ts)"
3,BA,P3BA2,Real API: 정치인,"목록, 상세, 관심등록, 본인인증, AI평가 조회, AI평가 생성 (6개 route.ts)"
3,BA,P3BA3,Real API: 커뮤니티,"게시글 목록/상세/작성, 댓글, 좋아요, 공유, 팔로우 (7개 route.ts)"
3,BA,P3BA4,Real API: 기타,"알림, 관리자 통계, 사용자 관리, 콘텐츠 신고 (4개 route.ts)"
4,BA,P4BA1,선관위 크롤링 스크립트,선관위 사이트에서 정치인 데이터 크롤링
4,BA,P4BA2,정치인 데이터 시딩,초기 정치인 데이터 DB 삽입
4,BA,P4BA3,이미지 업로드 헬퍼,Supabase Storage 이미지 업로드 유틸
4,BA,P4BA4,파일 업로드 헬퍼,게시글 첨부파일 업로드 처리
4,BA,P4BA5,욕설 필터,욕설 감지 및 필터링 유틸
4,BA,P4BA6,알림 생성 헬퍼,알림 자동 생성 유틸
4,BA,P4BA7,자동 중재 시스템 API,AI 기반 신고 콘텐츠 자동 판정 및 처리
4,BA,P4BA8,감사 로그 API,모든 관리자 액션 기록 및 조회
4,BA,P4BA9,광고 관리 API,광고 등록/수정/삭제 및 통계
4,BA,P4BA10,정책 관리 API,이용약관/개인정보처리방침 등 관리
4,BA,P4BA11,알림 설정 API,전역 알림 설정 및 템플릿 관리
4,BA,P4BA12,시스템 설정 API,전역 시스템 설정 및 기능 토글
4,BA,P4BA13,관리자 액션 로그 API,관리자 활동 추적 및 통계
4,O,P4O1,크롤링 스케줄러,정치인 데이터 자동 업데이트 (Cron)
4,O,P4O2,인기 게시글 집계 스케줄러,인기 게시글 순위 자동 계산 (Cron)
4,O,P4O3,등급 재계산 스케줄러,사용자 등급 자동 재계산 (Cron)
5,T,P5T1,Unit Tests,컴포넌트 + API 유틸 + 함수 유닛 테스트 (Jest)
5,T,P5T2,E2E Tests,사용자 시나리오 E2E 테스트 (Playwright)
5,T,P5T3,Integration Tests,API + DB 통합 테스트
6,O,P6O1,CI/CD 파이프라인,GitHub Actions 자동 빌드/배포
6,O,P6O2,Vercel 배포 설정,Vercel 프로덕션 배포 설정
6,O,P6O3,모니터링 설정,Sentry 에러 추적 + Google Analytics
6,O,P6O4,보안 설정,Rate Limiting + CORS + CSP 설정
